FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,SALARY,DAY,DAY NAME,MONTH,YEAR
TOMASA,ARMEN,F,2014-05-18,2016-01-07,Analyst,21.0,Finance,24,6,2.0,0,44570,18,Sunday,5,2014
OLIVE,ANCY,F,2014-07-28,2016-01-07,Analyst,21.0,Finance,23,7,3.0,0,40955,28,Monday,7,2014
CHERRY,AQUILAR,F,2013-04-03,2016-01-07,Analyst,22.0,IT,22,8,3.0,0,45550,3,Wednesday,4,2013
LEON,ABOULAHOUD,M,2014-11-20,2016-01-07,Analyst,24.0,Operations,27,3,0.0,3,43161,20,Thursday,11,2014
VICTORIA,-,F,2013-02-19,2016-01-07,Analyst,22.0,Marketing,20,10,4.0,0,48736,19,Tuesday,2,2013
ELLIOT,AGULAR,M,2013-09-02,2016-01-07,Analyst,22.0,Marketing,19,11,5.0,0,40339,2,Monday,9,2013
JACQUES,AKMAL,M,2013-12-05,2016-01-07,Analyst,24.0,Marketing,29,1,2.0,2,40058,5,Thursday,12,2013
KATHY,ALSOP,F,2014-06-29,2016-01-07,Senior Analyst,28.0,Operations,20,10,3.0,1,63478,29,Sunday,6,2014
LILIAN,APELA,F,2014-11-11,2016-01-07,Analyst,22.0,Finance,15,15,3.0,0,43110,11,Tuesday,11,2014
BELLE,ARDS,F,2014-03-10,2016-01-07,Analyst,24.0,Marketing,22,8,4.0,1,41590,10,Monday,3,2014
VIRGIL,ACKIES,M,2010-02-01,2016-01-07,Senior Manager,36.0,Finance,19,11,2.0,9,160613,1,Monday,2,2010
WELDON,AIVAO,M,2013-08-01,2016-01-07,Analyst,24.0,Finance,15,15,5.0,1,44828,1,Thursday,8,2013
BOYD,AFTON,M,2013-03-22,2016-01-07,Analyst,21.0,Web,23,7,2.0,0,45830,22,Friday,3,2013
BART,AGUILLERA,M,2013-07-27,2016-01-07,Analyst,24.0,Management,30,0,4.0,1,43457,27,Saturday,7,2013
CORINNE,ANDRZEJCZYK,F,2014-08-13,2016-01-07,Analyst,21.0,IT,16,14,5.0,0,44812,13,Wednesday,8,2014
ALONZO,ADSIDE,M,2013-09-16,2016-01-07,Analyst,25.0,Finance,27,3,3.0,2,47636,16,Monday,9,2013
ROYCE,AGOSTO,M,2014-06-07,2016-01-07,Analyst,24.0,Web,27,3,5.0,1,48651,7,Saturday,6,2014
BURTON,AGUILER,M,2013-02-03,2016-01-07,Analyst,23.0,Management,21,9,3.0,0,40411,3,Sunday,2,2013
PHILLIP,ABDULA,M,2013-07-03,2016-01-07,Analyst,24.0,Web,18,12,5.0,0,44665,3,Wednesday,7,2013
ORVILLE,ADNEY,M,2013-06-23,2016-01-07,Analyst,25.0,Marketing,23,7,3.0,1,46941,23,Sunday,6,2013
KORY,ALEGRIA,M,2013-10-11,2016-01-07,Analyst,22.0,Marketing,28,2,5.0,0,47734,11,Friday,10,2013
